ID	TOKENS	CONCEPT	ALIGNMENT	IPA	COUNTERPART	COGID	DOCULECT	NOTE	STRUCTURE	BORROWING
1151	g e nː a n a n	*gennanan	( - - ) g e nː a n ( a n )	gennanan	*gennanan	316	Proto-Germanic		C V c v c	
1152	b ə ɡ ɪ n ə n	*gennanan	( b ə ) ɡ ɪ n ə n ( - - )	bəɡɪnən	beginnen	316	German			
1153	b ɪ ɡ ɪ n	*gennanan	( b ɪ ) ɡ ɪ n - - ( - - )	bɪɡɪn	begin	316	English			
1154	b ə ɣ ɪ n ə	*gennanan	( b ə ) ɣ ɪ n ə - ( - - )	bəɣɪnə	beginnen	316	Dutch			
1155	b r au d a n	*braudan	b r au d ( a n )	braudan	*braudan	317	Proto-Germanic		C C V C	
1156	b r oː t	*braudan	b r oː t ( - - )	broːt	Brot	317	German			
1157	b r ɛ d	*braudan	b r ɛ d ( - - )	brɛd	bread	317	English			
1158	b r oː t	*braudan	b r oː t ( - - )	broːt	brood	317	Dutch			
1159	s e x s	*sexs	s e x s	sexs	*sexs	318	Proto-Germanic			
1160	z ɛ k s	*sexs	z ɛ k s	zɛks	sechs	318	German			
1161	s ɪ k s	*sexs	s ɪ k s	sɪks	six	318	English			
1162	z ɛ s	*sexs	z ɛ - s	zɛs	zes	318	Dutch			
1163	x n a kː a z	*xnakkaz	x n a kː ( a z )	xnakkaz	*xnakkaz	319	Proto-Germanic			
1164	n a k ə n	*xnakkaz	- n a k ( ə n )	nakən	Nacken	319	German			
1165	n ɛ k	*xnakkaz	- n ɛ k ( - - )	nɛk	neck	319	English			
1166	n ɛ k	*xnakkaz	- n ɛ k ( - - )	nɛk	nek	319	Dutch			
1167	s t e k a n a n	*stekanan	s t e k a n ( a n )	stekanan	*stekanan	320	Proto-Germanic			
1168	ʃ t ɛ x ə n	*stekanan	ʃ t ɛ x ə n ( - - )	ʃtɛxən	stechen	320	German			
1169	s t eː k ə	*stekanan	s t eː k ə - ( - - )	steːkə	steken	320	Dutch			
1170	w a r t o	*warto	w a r - t o	warto	*warto	321	Proto-Germanic			
1171	v a r ts ə	*warto	v a r - ts ə	vart͡sə	Warze	321	German			
1172	ʋ ɔː t	*warto	ʋ ɔː - - t -	ʋɔːt	wart	321	English			
1173	ʋ r ɑ t	*warto	ʋ - r ɑ t -	ʋrɑt	wrat	321	Dutch			
1174	b a r d a z	*bardaz	b a r d ( a z )	bardaz	*bardaz	322	Proto-Germanic			
1175	b aː r t	*bardaz	b aː r t ( - - )	baːrt	Bart	322	German		C V C C	
1176	b ɪə d	*bardaz	b ɪə - d ( - - )	bɪəd	beard	322	English			
1177	b aː r t	*bardaz	b aː r t ( - - )	baːrt	baard	322	Dutch			
1178	b a r z a n	*barzan	b a r z a n	barzan	*barzan	323	Proto-Germanic			
1179	b aː r ʃ	*barzan	b aː r ʃ - -	baːrʃ	Barsch	323	German		C V C C	
1180	b aː r s	*barzan	b aː r s - -	baːrs	baars	323	Dutch			
1181	d a l a z	*dalaz	d a l ( a z )	dalaz	*dalaz	324	Proto-Germanic		C V C	
1182	t aː l	*dalaz	t aː l ( - - )	taːl	Tal	324	German			
1183	d eɪ l	*dalaz	d eɪ l ( - - )	deɪl	dale	324	English			
1184	d ɑ l	*dalaz	d ɑ l ( - - )	dɑl	dal	324	Dutch			
1185	t a l a z	*talaz	t a l ( a z )	talaz	*talaz	325	Proto-Germanic			
1186	ts aː l	*talaz	ts aː l ( - - )	t͡saːl	Zahl	325	German			
1187	t aː l	*talaz	t aː l ( - - )	taːl	taal	325	Dutch			
1188	s e t j a n a n	*setjanan	s e t j a n ( a n )	setjanan	*setjanan	326	Proto-Germanic			
1189	z ɪ ts ə n	*setjanan	z ɪ ts - ə n ( - - )	zɪt͡sən	sitzen	326	German			
1190	s ɪ t	*setjanan	s ɪ t - - - ( - - )	sɪt	sit	326	English			
1191	z ɪ t ə	*setjanan	z ɪ t - ə - ( - - )	zɪtə	zitten	326	Dutch			
1192	s k uː r oː	*skūrō	s k uː - r ( oː )	skuːroː	*skūrō	327	Proto-Germanic			
1193	ʃ au ə r	*skūrō	ʃ - au ə r ( - )	ʃauər	Schauer	327	German			
1194	ʃ aʊ ə r	*skūrō	ʃ - aʊ ə r ( - )	ʃaʊər	shower	327	English			
1199	i g i l a z	*igilaz/igulaz	i g i l ( a z )	igilaz/igulaz	*igilaz/igulaz	329	Proto-Germanic		V c v c	
1200	iː ɡ ə l	*igilaz/igulaz	iː ɡ ə l ( - - )	iːɡəl	Igel	329	German			
1201	eː ɣ ə l	*igilaz/igulaz	eː ɣ ə l ( - - )	eːɣəl	egel	329	Dutch			
1202	t a n g oː	*tangō	t a n g ( oː - )	tangoː	*tangō	330	Proto-Germanic			
1203	ts a ŋ ə	*tangō	ts a ŋ - ( ə - )	t͡saŋə	Zange	330	German			
1204	t ɔ ŋ z	*tangō	t ɔ ŋ - ( - z )	tɔŋz	tongs	330	English			
1205	t ɑ ŋ	*tangō	t ɑ ŋ - ( - - )	tɑŋ	tang	330	Dutch			
1206	s n iː θ a n a n	*snīθanan	s n iː θ a n ( a n )	sniːθanan	*snīθanan	331	Proto-Germanic			
1207	ʃ n ai d ə n	*snīθanan	ʃ n ai d ə n ( - - )	ʃnaidən	schneiden	331	German			
1208	s n ɛɪ d ə	*snīθanan	s n ɛɪ d ə - ( - - )	snɛɪdə	snijden	331	Dutch			
1209	f e l x a n a n	*felxanan	f e l x a ( n a n )	felxanan	*felxanan	332	Proto-Germanic		C V C C V	
1210	f ɛ l ɡ ə	*felxanan	f ɛ l ɡ ə ( - - - )	fɛlɡə	Felge	332	German			
1211	v ɛ l x	*felxanan	v ɛ l x - ( - - - )	vɛlx	velg	332	Dutch			
1212	s a l t a n	*saltan	s a l t ( a n )	saltan	*saltan	333	Proto-Germanic			
1213	z a l ts	*saltan	z a l ts ( - - )	zalt͡s	Salz	333	German			
1214	s ɔː l t	*saltan	s ɔː l t ( - - )	sɔːlt	salt	333	English			
1215	z ɑu t	*saltan	z ɑu - t ( - - )	zɑut	zout	333	Dutch			
1216	t r u g a n	*trugan	t r u g ( a n )	trugan	*trugan	334	Proto-Germanic			
1217	t r oː k	*trugan	t r oː k ( - - )	troːk	Trog	334	German			
1218	t r ɔ f	*trugan	t r ɔ f ( - - )	trɔf	trough	334	English			
1219	s k iː b oː n	*skībōn	s k iː b oː ( n )	skiːboːn	*skībōn	335	Proto-Germanic			
1220	ʃ ai b ə	*skībōn	ʃ - ai b ə ( - )	ʃaibə	Scheibe	335	German			
1221	s x ɛɪ f	*skībōn	s x ɛɪ f - ( - )	sxɛɪf	schijf	335	Dutch			
1222	m e t a n a n	*metanan	m e t a n ( a n )	metanan	*metanan	336	Proto-Germanic		C V c v c	
1223	m ɛ s ə n	*metanan	m ɛ s ə n ( - - )	mɛsən	messen	336	German			
1224	m eː t ə	*metanan	m eː t ə - ( - - )	meːtə	meten	336	Dutch			
1225	f l eu x a n a n	*fleuxanan	f l eu x a n ( a n )	fleuxanan	*fleuxanan	337	Proto-Germanic		C C V c v c	
1226	f l iː ə n	*fleuxanan	f l iː - ə n ( - - )	fliːən	fliehen	337	German			
1227	f l iː	*fleuxanan	f l iː - - - ( - - )	fliː	flee	337	English			
1228	v l iː d ə	*fleuxanan	v l iː d ə - ( - - )	vliːdə	vlieden	337	Dutch	IR		
1229	s p a r oː n	*sparrōn	s p a r oː n	sparroːn	*sparrōn	338	Proto-Germanic			
1230	ʃ p a r ə n	*sparrōn	ʃ p a r ə n	ʃparən	Sparren	338	German			
1231	s p ɑː r	*sparrōn	s p ɑː r - -	spɑːr	spar	338	English			
1232	s p ɑ r	*sparrōn	s p ɑ r - -	spɑr	spar	338	Dutch			
1233	x oː r oː n	*xōrōn	x oː r oː ( n )	xoːroːn	*xōrōn	339	Proto-Germanic			
1234	h uː r ə	*xōrōn	h uː r ə ( - )	huːrə	Hure	339	German			
1235	h ɔː r	*xōrōn	h ɔː r - ( - )	hɔːr	whore	339	English			
1236	h uː r	*xōrōn	h uː r - ( - )	huːr	hoer	339	Dutch			
1237	d u g u n θ i z	*dugunθiz	d u g u n θ ( i z )	dugunθiz	*dugunθiz	340	Proto-Germanic		C V c v c c	
1238	t uː ɡ ə n t	*dugunθiz	t uː ɡ ə n d ( - - )	tuːɡənt	Tugend	340	German			
1239	d øː x t	*dugunθiz	d øː x - - t ( - - )	døːxt	deugd	340	Dutch			
1240	d r iː b a n a n	*drībanan	d r iː b a n ( a n )	driːbanan	*drībanan	341	Proto-Germanic		C C V c v c	
1241	t r ai b ə n	*drībanan	t r ai b ə n ( - - )	traibən	treiben	341	German			
1242	d r aɪ v	*drībanan	d r aɪ v - - ( - - )	draɪv	drive	341	English			
1243	d r ɛɪ v ə	*drībanan	d r ɛɪ v ə - ( - - )	drɛɪvə	drijven	341	Dutch			
1244	kʷ i θ u z	*kwiθuz	kʷ i θ ( u z )	kwiθuz	*kwiθuz	342	Proto-Germanic		C V C	
1245	k ɪ t	*kwiθuz	k ɪ t ( - - )	kɪt	Kitt	342	German			
1246	k ʌ d	*kwiθuz	k ʌ d ( - - )	kʌd	cud	342	English			
1247	k ɪ t	*kwiθuz	k ɪ t ( - - )	kɪt	kit	342	Dutch			
1248	x a l d a n a n	*xaldanan	x a l d a n ( a n )	xaldanan	*xaldanan	343	Proto-Germanic			
1249	h a l t ə n	*xaldanan	h a l t ə n ( - - )	haltən	halten	343	German			
1250	h əʊ l d	*xaldanan	h əʊ l d - - ( - - )	həʊld	hold	343	English			
1251	h ɑu d ə	*xaldanan	h ɑu - d ə - ( - - )	hɑudə	houden	343	Dutch			
1252	s t r a w a n	*strawan	s t r a ( w a n )	strawan	*strawan	344	Proto-Germanic			
1253	ʃ t r oː	*strawan	ʃ t r oː ( - - - )	ʃtroː	Stroh	344	German			
1254	s t r ɔː	*strawan	s t r ɔː ( - - - )	strɔː	straw	344	English			
1255	s t r oː	*strawan	s t r oː ( - - - )	stroː	stro	344	Dutch			
1256	t u x t i z	*tuxtiz	t u x t ( i z )	tuxtiz	*tuxtiz	345	Proto-Germanic			
1257	ts ʊ x t	*tuxtiz	ts ʊ x t ( - - )	t͡sʊxt	Zucht	345	German			
1258	t ʉ x t	*tuxtiz	t ʉ x t ( - - )	tʉxt	tucht	345	Dutch			
1259	f i s k a z	*fiskaz	f i s k ( a z )	fiskaz	*fiskaz	346	Proto-Germanic		C V C C	
1260	f ɪ ʃ	*fiskaz	f ɪ ʃ - ( - - )	fɪʃ	Fisch	346	German			
1261	f ɪ ʃ	*fiskaz	f ɪ ʃ - ( - - )	fɪʃ	fish	346	English			
1262	v ɪ s	*fiskaz	v ɪ s - ( - - )	vɪs	vis	346	Dutch			
1263	w a l d a n a n	*waldanan	w a l d a n ( a n )	waldanan	*waldanan	347	Proto-Germanic			
1264	v a l t ə n	*waldanan	v a l t ə n ( - - )	valtən	walten	347	German			
1265	ʋ iː l d	*waldanan	ʋ iː l d - - ( - - )	ʋiːld	wield	347	English			
1266	w a s j a n a n	*wasjanan	w a s j a n ( a n )	wasjanan	*wasjanan	348	Proto-Germanic			
1267	v eː r ə n	*wasjanan	v eː r - ə n ( - - )	veːrən	wehren	348	German			
1268	ʋ eː r ə	*wasjanan	ʋ eː r - ə - ( - - )	ʋeːrə	weren	348	Dutch			
1269	w ai θ i z	*waiθiz	w ai θ ( i z )	waiθiz	*waiθiz	349	Proto-Germanic			
1270	v ai d ə	*waiθiz	v ai d ( ə - )	vaidə	Weide	349	German			
1271	ʋ ɪ ð ɪ	*waiθiz	ʋ ɪ ð ( ɪ - )	ʋɪðɪ	withy	349	English			
1272	ʋ ɛɪ d ə	*waiθiz	ʋ ɛɪ d ( ə - )	ʋɛɪdə	weide	349	Dutch			
1273	θ e l a n	*θelan	θ e l a ( n )	θelan	*θelan	350	Proto-Germanic			
1274	d iː l ə	*θelan	d iː l ə ( - )	diːlə	Diele	350	German			
1275	d eː l	*θelan	d eː l - ( - )	deːl	deel	350	Dutch			
1276	w a b s a z	*wabsaz	w a - b s ( a z )	wabsaz	*wabsaz	351	Proto-Germanic			
1277	v ɛ s p ə	*wabsaz	v ɛ s p - ( ə - )	vɛspə	Wespe	351	German			
1278	ʋ ɔ s p	*wabsaz	ʋ ɔ s p - ( - - )	ʋɔsp	wasp	351	English			
1279	ʋ ɛ s p	*wabsaz	ʋ ɛ s p - ( - - )	ʋɛsp	wesp	351	Dutch			
1280	s w a l gʷ oː n	*swalgwōn	s w a l ( - gʷ oː n )	swalgwoːn	*swalgwōn	352	Proto-Germanic			
1281	ʃ v a l b ə	*swalgwōn	ʃ v a l ( - b ə - )	ʃvalbə	Schwalbe	352	German			
1282	s ʋ ɔ l əʊ	*swalgwōn	s ʋ ɔ l ( əʊ - - - )	sʋɔləʊ	swallow	352	English			
1283	z ʋ aː l yː ʋ	*swalgwōn	z ʋ aː l ( yː ʋ - - )	zʋaːlyːʋ	zwaluw	352	Dutch			
1284	s k a w oː j a n a n	*skawōjanan	s k a w oː j a n ( a n )	skawoːjanan	*skawōjanan	353	Proto-Germanic			
1285	ʃ au ə n	*skawōjanan	ʃ - au - - - ə n ( - - )	ʃauən	schauen	353	German			
1286	ʃ əʊ	*skawōjanan	ʃ - əʊ - - - - - ( - - )	ʃəʊ	show	353	English			
1287	s x ɑu ʋ ə	*skawōjanan	s x ɑu ʋ - - ə - ( - - )	sxɑuʋə	schouwen	353	Dutch			
1288	w iː g j a n a n	*wīgjanan	w iː g j a n ( a n )	wiːgjanan	*wīgjanan	354	Proto-Germanic			
1289	v ai ə n	*wīgjanan	v ai - - ə n ( - - )	vaiən	weihen	354	German			
1290	ʋ ɛɪ d ə	*wīgjanan	ʋ ɛɪ d - ə - ( - - )	ʋɛɪdə	wijden	354	Dutch			
1291	g a n s z	*gansz	g a n s ( z )	gansz	*gansz	355	Proto-Germanic		C V C C	
1292	ɡ a n s	*gansz	ɡ a n s ( - )	ɡans	Gans	355	German			
1293	ɡ uː s	*gansz	ɡ uː - s ( - )	ɡuːs	goose	355	English			
1294	x ɑ n s	*gansz	x ɑ n s ( - )	xɑns	gans	355	Dutch			
1295	b au g j a n a n	*baugjanan	b au g j a n ( a n )	baugjanan	*baugjanan	356	Proto-Germanic		C V c c v c  	
1296	b ɔy ɡ ə n	*baugjanan	b ɔy ɡ - ə n ( - - )	bɔyɡən	beugen	356	German		C V c - v c	
1297	b əʊ	*baugjanan	b əʊ - - - - ( - - )	bəʊ	bow	356	English			
1298	b œy ɣ ə	*baugjanan	b œy ɣ - ə - ( - - )	bœyɣə	buigen	356	Dutch			
1299	b u r d a n	*burdan	b u r d ( a n )	burdan	*burdan	357	Proto-Germanic		C V C C	
1300	b ɔ r d/t	*burdan	b ɔ r d/t ( - - )	bɔrt	Bord	357	German	BOR		Low German
1301	b ɔː d	*burdan	b ɔː - d ( - - )	bɔːd	board	357	English			
1302	b ɔ r t	*burdan	b ɔ r t ( - - )	bɔrt	bord	357	Dutch			
1303	r ai p a n	*raipan	r ai p ( a n )	raipan	*raipan	358	Proto-Germanic			
1304	r ai f	*raipan	r ai f ( - - )	raif	Reif	358	German			
1305	r əʊ p	*raipan	r əʊ p ( - - )	rəʊp	rope	358	English			
1306	r ɛɪ p	*raipan	r ɛɪ p ( - - )	rɛɪp	rijp	358	Dutch			
1307	d au p j a n a n	*daupjanan	d au p j a n ( a n )	daupjanan	*daupjanan	359	Proto-Germanic		C V c c v c	
1308	t au f ə n	*daupjanan	t au f - ə n ( - - )	taufən	taufen	359	German			
1309	d oː p ə	*daupjanan	d oː p - ə - ( - - )	doːpə	dopen	359	Dutch			
1310	b a θ a n	*baθan	b a θ ( a n )	baθan	*baθan	360	Proto-Germanic		C V C?	
1311	b aː d	*baθan	b aː d ( - - )	baːt	Bad	360	German			
1312	b ɑː θ	*baθan	b ɑː θ ( - - )	bɑːθ	bath	360	English			
1313	b ɑ t	*baθan	b ɑ t ( - - )	bɑt	bad	360	Dutch			
1314	f a s t eː n a n	*fastēnan	f a s t eː n ( a n )	fasteːnan	*fastēnan	361	Proto-Germanic		C V C C V C 	
1315	f a s t ə n	*fastēnan	f a s t ə n ( - - )	fastən	fasten	361	German			
1316	f ɑː s t	*fastēnan	f ɑː s t - - ( - - )	fɑːst	fast	361	English			
1317	v ɑ s t ə	*fastēnan	v ɑ s t ə - ( - - )	vɑstə	vasten	361	Dutch			
1318	w e s t a n eː	*westanē	w e s t a n ( eː )	westaneː	*westanē	362	Proto-Germanic			
1319	v ɛ s t ə n	*westanē	v ɛ s t ə n ( - )	vɛstən	Westen	362	German			
1320	ʋ ɛ s t	*westanē	ʋ ɛ s t - - ( - )	ʋɛst	west	362	English			
1321	ʋ ɛ s t ə	*westanē	ʋ ɛ s t ə - ( - )	ʋɛstə	westen	362	Dutch			
1322	s ai w a l oː	*saiwalō	s ai w a l oː	saiwaloː	*saiwalō	363	Proto-Germanic			
1323	z eː l ə	*saiwalō	z eː - - l ə	zeːlə	Seele	363	German			
1324	s əʊ l	*saiwalō	s əʊ - - l -	səʊl	soul	363	English			
1325	z iː l	*saiwalō	z iː - - l -	ziːl	ziel	363	Dutch			
1326	l u s t u z	*lustuz	l u s t ( u z )	lustuz	*lustuz	364	Proto-Germanic		C V C C	
1327	l ʊ s t	*lustuz	l ʊ s t ( - - )	lʊst	Lust	364	German			
1328	l ʌ s t	*lustuz	l ʌ s t ( - - )	lʌst	lust	364	English			
1329	l ʉ s t	*lustuz	l ʉ s t ( - - )	lʉst	lust	364	Dutch			
1330	e t a n a n	*etanan	e t a n ( a n )	etanan	*etanan	365	Proto-Germanic		V c v c	
1331	ɛ s ə n	*etanan	ɛ s ə n ( - - )	ɛsən	essen	365	German			
1332	iː t	*etanan	iː t - - ( - - )	iːt	eat	365	English			
1333	eː t ə	*etanan	eː t ə - ( - - )	eːtə	eten	365	Dutch			
1334	x a b eː n a n	*xabēnan	x a b eː n ( a n )	xabeːnan	*xabēnan	366	Proto-Germanic			
1335	h aː b ə n	*xabēnan	h aː b ə n ( - - )	haːbən	haben	366	German			
1336	h æ v	*xabēnan	h æ v - - ( - - )	hæv	have	366	English			
1337	h ɛ b ə	*xabēnan	h ɛ b ə - ( - - )	hɛbə	hebben	366	Dutch			
1338	b a n d a n	*bandan	b a n d ( a n )	bandan	*bandan	367	Proto-Germanic			
1339	b a n d	*bandan	b a n d ( - - )	bant	Band	367	German		C V C C	
1340	b ɛ n t	*bandan	b ɛ n t ( - - )	bɛnt	band	367	Dutch			
1341	x a z w a z	*xazwaz	x a z ( w a z )	xazwaz	*xazwaz	368	Proto-Germanic			
1342	h aː r	*xazwaz	h aː r ( - - - )	haːr	Haar	368	German			
1343	h ɛə r	*xazwaz	h ɛə r ( - - - )	hɛər	hair	368	English			
1344	h aː r	*xazwaz	h aː r ( - - - )	haːr	haar	368	Dutch			
1348	θ r e s k a n a n	*θreskanan	θ - r e s k a n ( a n )	θreskanan	*θreskanan	370	Proto-Germanic			
1349	d r ɛ ʃ ə n	*θreskanan	d - r ɛ ʃ - ə n ( - - )	drɛʃən	dreschen	370	German			
1350	θ r æ ʃ	*θreskanan	θ - r æ ʃ - - - ( - - )	θræʃ	thrash	370	English			
1351	d ɔ r s ə	*θreskanan	d ɔ r - s - ə - ( - - )	dɔrsə	dorsen	370	Dutch			
1352	l a n d a n	*landan	l a n d ( a n )	landan	*landan	371	Proto-Germanic		C V C C	
1353	l a n t	*landan	l a n d ( - - )	lant	Land	371	German			
1354	l æ n d	*landan	l æ n d ( - - )	lænd	land	371	English			
1355	l ɑ n t	*landan	l ɑ n t ( - - )	lɑnt	land	371	Dutch			
1356	s p a nː a n a n	*spannanan	s p a nː a n ( a n )	spannanan	*spannanan	372	Proto-Germanic			
1357	ʃ p a n ə n	*spannanan	ʃ p a n ə n ( - - )	ʃpanən	spannen	372	German			
1358	s p æ n	*spannanan	s p æ n - - ( - - )	spæn	span	372	English			
1359	s p ɑ n ə	*spannanan	s p ɑ n ə - ( - - )	spɑnə	spannen	372	Dutch			
1360	s t r au m a z	*straumaz	s t r au m ( a z )	straumaz	*straumaz	373	Proto-Germanic			
1361	ʃ t r oː m	*straumaz	ʃ t r oː m ( - - )	ʃtroːm	Strom	373	German			
1362	s t r iː m	*straumaz	s t r iː m ( - - )	striːm	stream	373	English			
1363	s t r oː m	*straumaz	s t r oː m ( - - )	stroːm	stroom	373	Dutch			
1364	s uː p a n a n	*sūpanan	s uː p a n ( a n )	suːpanan	*sūpanan	374	Proto-Germanic			
1365	z au f ə n	*sūpanan	z au f ə n ( - - )	zaufən	saufen	374	German			
1366	s ʌ p	*sūpanan	s ʌ p - - ( - - )	sʌp	sup	374	English			
1367	z œy p ə	*sūpanan	z œy p ə - ( - - )	zœypə	zuipen	374	Dutch			
1368	s k eː p a n	*skēpan	s k eː p ( a n )	skeːpan	*skēpan	375	Proto-Germanic			
1369	ʃ aː f	*skēpan	ʃ - aː f ( - - )	ʃaːf	Schaf	375	German			
1370	ʃ iː p	*skēpan	ʃ - iː p ( - - )	ʃiːp	sheep	375	English			
1371	s x aː p	*skēpan	s x aː p ( - - )	sxaːp	schaap	375	Dutch			
1372	r e x t j a n a n	*rextjanan	r e x t j a n ( a n )	rextjanan	*rextjanan	376	Proto-Germanic			
1373	r ɪ x t ə n	*rextjanan	r ɪ x t - ə n ( - - )	rɪxtən	richten	376	German			
1374	r ɪ x t ə	*rextjanan	r ɪ x t - ə - ( - - )	rɪxtə	richten	376	Dutch			
1375	w i x s l a n	*wixslan	w i x s - l ( a n )	wixslan	*wixslan	377	Proto-Germanic			
1376	v ɛ k s ə l	*wixslan	v ɛ k s ə l ( - - )	vɛksəl	Wechsel	377	German			
1377	ʋ ɪ s ə l	*wixslan	ʋ ɪ - s ə l ( - - )	ʋɪsəl	wissel	377	Dutch			
1378	s a n d j a n a n	*sandjanan	s a n d j a n ( a n )	sandjanan	*sandjanan	378	Proto-Germanic			
1379	z ɛ n d ə n	*sandjanan	z ɛ n d - ə n ( - - )	zɛndən	senden	378	German			
1380	s ɛ n d	*sandjanan	s ɛ n d - - - ( - - )	sɛnd	send	378	English			
1381	z ɛ n d ə	*sandjanan	z ɛ n d - ə - ( - - )	zɛndə	zenden	378	Dutch			
1382	r u kː i z	*rukkiz	r u kː ( i z )	rukkiz	*rukkiz	379	Proto-Germanic			
1383	r ʊ k	*rukkiz	r ʊ k ( - - )	rʊk	Ruck	379	German			
1384	r ɔ k	*rukkiz	r ɔ k ( - - )	rɔk	rock	379	English			
1385	r ʉ k	*rukkiz	r ʉ k ( - - )	rʉk	ruk	379	Dutch			
1386	t au x m a z	*tauxmaz	t au x m ( a z )	tauxmaz	*tauxmaz	380	Proto-Germanic			
1387	ts au m	*tauxmaz	ts au - m ( - - )	t͡saum	Zaum	380	German			
1388	t iː m	*tauxmaz	t iː - m ( - - )	tiːm	team	380	English			
1389	t oː m	*tauxmaz	t oː - m ( - - )	toːm	toom	380	Dutch			
1390	l eu s a n a n	*leusanan	( - - - ) l eu s a n ( a n )	leusanan	*leusanan	381	Proto-Germanic		C V c v c	
1391	f ɛ r l iː r ə n	*leusanan	( f ɛ r ) l iː r ə n ( - - )	fɛrliːrən	verlieren	381	German			
1392	f ə l ɔː n	*leusanan	( f ə - ) l ɔː - - - ( n - )	fəlɔːn	forlorn	381	English			
1393	v ə r l iː z ə	*leusanan	( v ə r ) l iː z ə - ( - - )	vərliːzə	verliezen	381	Dutch			
1394	s t e lː j a n a n	*stelljanan	s t e lː j a n ( a n )	stelljanan	*stelljanan	382	Proto-Germanic			
1395	ʃ t ɪ l ə n	*stelljanan	ʃ t ɪ l - ə n ( - - )	ʃtɪlən	stillen	382	German			
1396	s t ɪ l	*stelljanan	s t ɪ l - - - ( - - )	stɪl	still	382	English			
1397	s t ɪ l ə	*stelljanan	s t ɪ l - ə - ( - - )	stɪlə	stillen	382	Dutch			
1398	s k iː n a n a n	*skīnanan	s k iː n a n ( a n )	skiːnanan	*skīnanan	383	Proto-Germanic			
1399	ʃ ai n ə n	*skīnanan	ʃ - ai n ə n ( - - )	ʃainən	scheinen	383	German			
1400	ʃ aɪ n	*skīnanan	ʃ - aɪ n - - ( - - )	ʃaɪn	shine	383	English			
1401	s x ɛɪ n ə	*skīnanan	s x ɛɪ n ə - ( - - )	sxɛɪnə	schijnen	383	Dutch			
1402	s t a b i z	*stabiz	s t a b ( i z )	stabiz	*stabiz	384	Proto-Germanic			
1403	ʃ t aː p	*stabiz	ʃ t aː b ( - - )	ʃtaːp	Stab	384	German			
1404	s t ɑː f	*stabiz	s t ɑː f ( - - )	stɑːf	staff	384	English			
1405	s t ɑ f	*stabiz	s t ɑ f ( - - )	stɑf	staf	384	Dutch			
1406	θ e gʷ e r n oː	*θegwernō	θ e ( gʷ e ) r n ( oː )	θegwernoː	*θegwernō	385	Proto-Germanic			
1407	d ɪ r n ə	*θegwernō	d ɪ ( - - ) r n ( ə )	dɪrnə	Dirne	385	German			
1408	d eː r n	*θegwernō	d eː ( - - ) r n ( - )	deːrn	deern	385	Dutch			
1409	f l oː d u z	*flōduz	f l oː d ( u z )	floːduz	*flōduz	386	Proto-Germanic		C C V C	
1410	f l uː t	*flōduz	f l uː t ( - - )	fluːt	Flut	386	German			
1411	f l ʌ d	*flōduz	f l ʌ d ( - - )	flʌd	flood	386	English			
1412	v l uː t	*flōduz	v l uː t ( - - )	vluːt	vloed	386	Dutch			
1413	s t ai n a z	*stainaz	s t ai n ( a z )	stainaz	*stainaz	387	Proto-Germanic			
1414	ʃ t ai n	*stainaz	ʃ t ai n ( - - )	ʃtain	Stein	387	German			
1415	s t əʊ n	*stainaz	s t əʊ n ( - - )	stəʊn	stone	387	English			
1416	s t eː n	*stainaz	s t eː n ( - - )	steːn	steen	387	Dutch			
1417	b u g oː n	*bugōn	b u g oː n	bugoːn	*bugōn	388	Proto-Germanic		C V C	
1418	b oː ɡ ə n	*bugōn	b oː ɡ ə n	boːɡən	Bogen	388	German			
1419	b əʊ	*bugōn	b əʊ - - -	bəʊ	bow	388	English			
1420	b oː x	*bugōn	b oː x - -	boːx	boog	388	Dutch			
1421	l i s t i z	*listiz	l i s t ( i z )	listiz	*listiz	389	Proto-Germanic		C V C C	
1422	l ɪ s t	*listiz	l ɪ s t ( - - )	lɪst	List	389	German			
1423	l ɪ s t	*listiz	l ɪ s t ( - - )	lɪst	list	389	Dutch			
1424	s k e r a n a n	*skeranan	s k e r a n ( a n )	skeranan	*skeranan	390	Proto-Germanic			
1425	ʃ eː r ə n	*skeranan	ʃ - eː r ə n ( - - )	ʃeːrən	scheren	390	German			
1426	ʃ ɪə r	*skeranan	ʃ - ɪə r - - ( - - )	ʃɪər	shear	390	English			
1427	s x eː r ə	*skeranan	s x eː r ə - ( - - )	sxeːrə	scheren	390	Dutch			
1428	b a k a n a n	*bakanan	b a kk a n ( a n )	bakanan	*bakanan	391	Proto-Germanic			
1429	b a k ə n	*bakanan	b a k ə n ( - - )	bakən	backen	391	German	BOR	C V c v c	
1430	b eɪ k	*bakanan	b eɪ k - - ( - - )	beɪk	bake	391	English			
1431	b ɑ k ə	*bakanan	b ɑ k ə - ( - - )	bɑkə	bakken	391	Dutch			
1432	w a n g o n	*wangon	w a n g ( o n )	wangon	*wangon	392	Proto-Germanic			
1433	v a ŋ ə	*wangon	v a ŋ - ( ə - )	vaŋə	Wange	392	German			
1434	ʋ ɑ ŋ	*wangon	ʋ ɑ ŋ - ( - - )	ʋɑŋ	wang	392	Dutch			
1435	l iː s t oː n	*līstōn	l iː s t ( oː n )	liːstoːn	*līstōn	393	Proto-Germanic		C V C C 	
1436	l ai s t ə	*līstōn	l ai s t ( ə - )	laistə	Leiste	393	German			
1437	l ɪ s t	*līstōn	l ɪ s t ( - - )	lɪst	list	393	English			
